label,prepro
0.0,pay largesize meal ask large fry large drink not argue ticket say medium drink thank single parent want spend little bit money unhealthy food waste hardearne money
0.0,customer service good staff play game m pay money horse management jock not answer phone night september pm visit austin mcdonald
0.0,wait drive half hour get trouble sorry wait explanation get second window dozen soda sit counter time ve bad service pull say serve right smack dab middle day hour
0.0,specifically lain dryand sure understand cuz let face macdonald add o meat bun home open bag immediately cheese hamburger wrapper mean cryin
0.0,buyer beware yeah fast food cheap love consistently let particular location place frequent location love incorrect item time order miss sure check order prior leave premise note take forever correct mistake consideration rest food cold soggy time
1.0,service slow item error bit small location overall good place grab quick bite near lake creek
1.0,cashier nice clean inside food fast
1.0,manager wait go way satisfied customer great customer service
0.0,saturday straight stop answer drive sit chill
1.0,give star evening manager nice person see definitely charge train crew constantly new help spite everytime return order go kitchen patiently disassemble sandwich explain proper way sandwich spirit education cherry disposition tell child work respect look yes thing confuse occasionally continue star
1.0,staff kind food usually prepare timely manner reason itsone preferred location drive line inconvenience long time block entrance
0.0,awful experience drive attendant rude untrained unprofessional ask manager attendant lie not duty fyi impossible shift manager specific attendant scream curse lead contact corporate
1.0,hashbrown fire today frappe point machine work work time fast worker
0.0,order happy meal plain cheeseburger burger wrong know like grandkid
0.0,mcdonald fast food company anymore food company line wrap building move robot go replace kitchen staff hate job
0.0,mcdonald constantly get order wrong order window uber single time not complete order today go fry chicken sandwich fry complicated manager give new girl oick window shove bag ny hand tha ke rude face turn away
0.0,night time drive team unprofessional order meal extra fry get food window give fry meal mention extra fry tell pay fry offer pay difference extra fry tell need drive order seriously s response return
0.0,rd time row wee burn go drive throw time mess order think learn lesson think quick easy nope location suck try call number receipt answer know
0.0,bad experience ask regular size coffeei window hand small ask woman regular rudely say yes question time ask size coffee say small medium large ask hold say small s charge say tell ask regular medium drive ask splendas creamer receive regular sugar creamer coffee coffee ground point spit little plus piece plastic
0.0,attempt drive say hour take order drive twice case try answer see employee kitchen not attention bad business close delay opening sign indicate nice
0.0,burger completely raw middle take burger remade lady counter treat like stuck brat want eat raw burger ability zero star rating eat
0.0,negative star location absolute bad single time f order attitude need correct mistake try benefit doubt offbad day return think time different suck staff horrible corporate need send staff week training chicfila college learn work ethic time management teamwork basic manor baffle chicfila car drive order right time min mcdonald car take min try order right make logical sense moral rant save time money drive corner chicfila get
0.0,order food employee conveniently forget turn microphone talk mess food order unprofessional honestly uncalled ask receipt say bad convenient ie try ahold management speak ab
0.0,don usually review place location ridiculously rude service consistently get order wrong busy rude
1.0,allway good fry ice cream world
1.0,mcdonald great need hire people understand english spanish spanish speaker try english order people nice smart drive lobby order
1.0,love go mcdonald area s food family grandchild love bring stuff like couple day great mcdonald mcdonald good spot take grandkid buy food great thing right lake creek thank put
0.0,horrible customer service get order wrong french fry say s fine wait not seriously kind fast food place not fry take minute heat bad fryer wait money make industry business sit whataburger not fry ready say fresh minute
0.0,horrible service drive not dam thing right interest voice continue repeat wrong go drive throw not follow direction sad
0.0,hate new self ordering touchscreen hard order simple item staff preoccupied order correct ask parfait sweet tea
0.0,staff rude napkin table dirty son go lunch movie know lunch start apparently not serve lunch ask say people like late breakfast weekend affect lunch not know accord sign breakfast serve day read review go highway
0.0,general fast food place subpar service go morning quick breakfast time usual saturday morning spot order different breakfast item end wife go order single order pancake sausage breakfast kid checkout expensive cashier repeat order receive order figure total pancake sausage breakfast wife bring girl register say oop sorry walk away offer fix refund great job
0.0,let place lot well different crew member orange red hair lady names veronica window attitude don want work mcdonald go people customer service
0.0,not mind mcds happy option hr food case want way home night friend latenight munchie day pretty average mcd lose business forever go night pull order box wait minute finally come speaker say sorry close close hrs hr place close night month deep cleaning post sign notice blindside place not think close think worker lazy job decide shut store pay additionally store bad habit have broken ice cream machine past pm sorry ice cream machine break come lobby close bad complain website submit complaint store point hr ice cream issue get week later oh sorry ice cream machine break work upgrade location take time single mention closed hr location say pretty standard mcd synonymous lazy take cake
0.0,stringent provide ketchup visit ie give
0.0,try charge piece egg ask bacon egg cheese mcgriddle drive go inside manager try charge employee confirm order say sub bacon instead sausage egg get take don
1.0,love price french fry
0.0,go drivethrough order baconcheese burger big mac ask leave middle bread center get baconcheese burger fine big mac bread center piece bread macsause instead piece meat piece bread end piece meat piece bread amuse get home bet stop
0.0,surprised come mcdonald work town coffee like drink cup hot water wow mcdonald know coffee water instead
0.0,terrible service didn hand change
0.0,busy sort slow slow dangerous intersection leave drive food couple time old dry not bad good
0.0,order mcdouble large soda burger pink red center time try eat fast food altogether
1.0,food good atmosphere ok restaurant clean thing make eat floor wet sign present slick good quick place grab bite
0.0,dissatisfied service location ask big mac instead charge quarter pounder son order cheeseburger happy meal want burger mustard onion pickle son upset refuse eat food burger get slopply meat half way hang burger bad dry little boy upset not want mad mommy hurt little boy
0.0,d eat option good location kinda way work home finish work literally option cause exhausted willing drive burger dry patty old get nugget instead short not waste money cook home
0.0,work late night come shift midnight rare good experience overnight staff run miss item quality food good clearly sit like difficulty get order
0.0,find piece hair food pay pancake syrup ranch open bag open leak bag call complaint manager answer take call backtoback incredibly rude tell pass certification not like health department complaint texas health department floor disgusting bathroom disgust bad mcdonald life travel country
1.0,compare macdonald location consistently well polite fast overwhelming accurate order ve go location bad experience drive great staff
0.0,star everytime early morning lady rude grant know early u not handle early maybe consider get different job okay rude
0.0,ask wait spot ask jelly completely ignore inside trash customer service blame management hold accountable
0.0,seriously ask specifically onion steak bagel meal get house onion ask picante sauce not sauce packet bag suck get home able eat expect
0.0,personal nice everytime mess order pay extra extra topping forget add toping plain like bacon mcd double order daughter mayo en add mac sause allergic onion miss order
0.0,inside smell like baby diaper ask extra sweet sour sauce dirty look like hassle ice cream machine break food look like carelessly guess not expect mcdonald anyways
1.0,like location dog favourite unsalted fry star great crew fast groom friendly
0.0,rude mad mess order ve bad service place
0.0,bad place ie mess single item order phone line don
0.0,seriously deal able brew fresh sweet tea sad check drink leave drive time week bad tea location like leave work new send hubby drink run morning constantly forget taste test leave
1.0,clean renovation quality food mcdonald well staff relatively friendly new atmosphere m likely eat inside drive
0.0,bad reengineer quarter pounder great go cheapo add extra fat mix fortune grant sad great fry not bag soggy burn tip incher ve learn distrust compnay
0.0,night crew order wrong eat sleep dinner wait day crew treat right
1.0,edit recently mcdonald improve lot especial compare mcdonald area maybe north w parmer fair comparison mean goddamn waterfall good work star old take power outlet table leave break cover caution tape understaffed tell owner suck place penny put give family own mcdonald bad
1.0,good place
1.0,look good food money fast food people mcdonald fast food burger place fry chain everytime honestly crave speak
0.0,star time bougght southwest saldad crispy chicken reach home chicken salad try answer phone
0.0,breakfast day breakfast thing edible place
1.0,understand mcdonald construction service go right recommend go mcdonald fast service great awesome food kid love soon remodeling soon right day ready work recommend community community sure love leander texas
1.0,live nearby choice mcdonald compare close distance get to order fry get yucky chew not eat rest taste cook double cook rubbery inedible
0.0,ushy terrible drive way service order wrong missing sandwich try large coffee people charge
0.0,dave give wrong burger time row work till morning want eat home sleep sheer unnecessaryness mcdonald say annoyingmultiple burger wrong time
1.0,positive experience arthur take order professional friendly visit exceptional
0.0,go drive breakfast like egg mcmuffin meal thing ill eat menu meal coke end wrong give sausage biscuit coke horrible line long time wait throw away will not come location
1.0,food fresh tasty fabulous great service thank
0.0,order uber eat not sauce order piece nugget large fry spicy mcchicken fry ice cold sauce non existent food mediocre literally live block away maybe block maybei call st tome try speak manager ring long go voice mail time bad mcdonald
0.0,absolutely terrible mcdonald worker bleed throw food mother politely ask take long drive like minute bad mouthed manager m angry unacceptable
0.0,go store night oct manager visible drive window not wear mask unsafe
0.0,take forever food minute sit line get home realize nugget old drop fryer second time ha heat ha miss half meal
0.0,time miss food item get order incorrect employee include gm terrible attitude show
0.0,worry time difference ask fact idea
1.0,store friendly smile staff clean time order correct not management make right convenient easy quick
0.0,mess order redo mess order order cause end get food posiening order food mom
1.0,get clean friendliest mcdonald service fast friendly highly recommend fast food restaurant location
1.0,everytime order thing routine mine year egg cheese mcgriddle large fry large sweet tea time meat mcgriddle clearly not ask good fast
1.0,enjoy day breakfast yes senoir recieve coffee discountmust ask mcmuffin hot great serviceclean environmentbon appitet
1.0,good food fast go drivethur min
0.0,ve come location different occasion time wait minute food m come
0.0,come lake creek festival location continue mess order take order manager rude
0.0,staff great fat m
0.0,ice cream not available ask apple pie get cherry piesi not eat cherry useless
1.0,lake creek festival mall review mcdonald feature member mall contribute member anderson mill community peace
1.0,girl weekday morning shift ptovide fast drive service world order accurate serve dozen vehicle time take whataburger serve
0.0,everytime go mcdonald ur order wrong fxxxe time excuse french not like u cause u ask special request point want eat u cannt like u want guess forgatten work customer
0.0,bad customer service ie experience mcd small stack napkin eduardo t
1.0,service good not order med water chargei ask say big small charge tell pay choice
0.0,big deal guy window drive say nba sauce bag say ok go home get home bag double check probably will not location
0.0,expect awesome food superior customer service nope place decent sausage biscuit have drive carl jrs cedar park
1.0,stellar mcds quarter pounder w cheese fry yes delicious hot good
1.0,everyday morning breakfast work staff nice error order manager right
1.0,drink time complaint need drive trash service amazing
1.0,nice customer service kid happy meal perfect
1.0,well unhealthy cheap breakfast town coffee steal yes deserve break
1.0,mcdonaldsy quick service friendly staff food like mcdonald guilty pleasure galore
1.0,good location friendly staff food prepared compare location go overnight hour attend
0.0,order happy meal large fry large coke drive not receipt change large sprite straw
0.0,time go location burger barely warm hand cool touch
0.0,people order happy meal mean box bag bag day see row box ask box people magically not talk call corporate manger write email say run rally place negative zero star
1.0,clean order correct crowded inside place sit table
1.0,quick service clean store not dine order inside
1.0,decent fast food order occasionally mess good price
1.0,ice cream cone good branch
0.0,completely ignore wait order register
0.0,guy mess order wish tell apple pay waste min life coffee cream instead sugar hate forever lol
1.0,fast friendly service clean inside good ve past year close live
0.0,order big mac get piece bun hamburger meat slice cheese lazy come
1.0,mcdonald wellmanage friendly staff issue go unlike location
0.0,place star worker extremely rude
0.0,chicken nugget burn salt fry disappointed
1.0,love fact allow dining
1.0,fast service clean bathroom lady nice helpful not wait long food
1.0,drive busy wait long employee sweet
1.0,great place great food serve nice warm time
0.0,try rush take order ring order correctly
0.0,horrible experience switch ordertaker halfway get order wrong charge not hear like request
1.0,great service s play area food taste likemcdonald like regular pecefull area
0.0,employee don know product give hospital
0.0,request freshly brew coffee tell d small wait gladly wait serve hot cup sludge
0.0,absolutely hate come slow service argumentative cashier abscent management generally eff attitude close cheap meh ll turd
1.0,issue inside amazing service friendly staff
1.0,issue sweet tea sweet taste like water good
0.0,not not not place mess short avoid hastle
0.0,customer drive soooooo racist talk mean ignore window saturday pm
0.0,guy check uber eat order wate order min cancel order de
0.0,bad driver miss item lady attitude awe come
1.0,quick convenient fast food fast food great quality expect mediocre
1.0,well mcdonald location austin special price deal see location
0.0,
0.0,food cold ask fresh fry gife fry
1.0,small mcdonald service good friendly staff location perfect
1.0,far good mcd clean store friendly service quality food
0.0,bad mcdonald pick order drivethru employee terrible mood unrespectful
0.0,milkshake machine work
0.0,chicken sandwich lazily throw look sloppy apart line spread veggie typical mcdonald
0.0,totally blow order wrong cold
0.0,everytime item spend min drive wait damn order
0.0,food cold taste like sit disappointed
0.0,open hour drivethru dining room actually close early pm pretty dirty location
1.0,great experience manager michelle wonderful friday midnight friendly fresh food
0.0,alma fit proper image standard manager hickey excessive unprofessionalism
1.0,quick ordera come right
1.0,drive super fast second order food hand
0.0,get extremely long drive cold fry dry old nugget whataburger corner
1.0,dining room close theye
1.0,mcgriddle time
0.0,wait minute sausage biscuit manager real rude ignora counter talk spanish understand talk poor service
0.0,place smell like port potty blow inside nasty food cold dry location not care
1.0,delicious fast correct
1.0,good fast food fast
1.0,fast service nice folk eat
0.0,get food get number lg eat burger pink middle fry cold great experience
1.0,pleasant staffalway friendly prompt service hot fry
0.0,poor experience single time s wrong machine ice cream coffee maker etc poor management
1.0,compaint not restroom open public short time
1.0,consistently good mcdonald food hot fast
0.0,terrible service star cashier min response decide whataburger door
0.0,keep call forget fry order sauce piece nugget answer phone m come money fry
1.0,yell fast great people
0.0,need stop hire spanish ppl make donald look trashy cheap
1.0,excellent breakfast sandwich carmel frappe
0.0,okay communicate people work suppose suppose learn spanish
1.0,alot small inside remodel staff alot friendly
1.0,fast friendly service clean bathroom ice cream machine break
1.0,line order sweet tea lil weak
0.0,mcdonald get minus people plus manager fire rude service terrible sue
0.0,order iced tea get taste like water clean coffee pot yuck
0.0,year go mcdonald time different drop redbox rental
1.0,bussin try
0.0,potential great location bad ingredient disgusting
1.0,dine temporarily close option
0.0,drive slow stop bye work take minute food s
1.0,service outstanding food fill extremely tasty
1.0,breakfast steak egg bagel awesome love coffee great
1.0,people not day goodnight fry lowkey bad lmao
1.0,nice friendly people get special order right st try
1.0,great employee food fresh
1.0,hard work people absolute patience service good product
1.0,wow great way kid great weekend rest week
1.0,fast efficient fresh food
1.0,great
0.0,mcd bad w parmermcneil location customer service lack
0.0,wait hour order car
0.0,order incorrect order grub hub
1.0,great fast friendly service everytime come
0.0,dry burn burger ve incompetent employee
0.0,slow ice cream machine doesn
0.0,fry taste like cook grease nuggets horrible ranch old
0.0,happy meal mold breed corner obvious
0.0,bad service
0.0,not good food supersize turn chain
1.0,grandchild enjoy come herethe staff child friendly
1.0,good food
1.0,buger right
0.0,time mcdonald listen mexican music feel like street taqueria tijuanaeate burger
0.0,work cash register order not speak understand english especially lunch time
1.0,good
1.0,fast hot food avoid mcdonald way
0.0,mayo sandwich tell allergic blame stress severity
0.0,fry good bring hic
0.0,pride service
1.0,fast accurate mcdonald ve
1.0,good burger honduran beef flavorful
1.0,good fast service hot food
0.0,negative star location awful lock door business hour customer store
1.0,clean neat friendly staff hot food
1.0,nothing well big mac fry work
0.0,unfortunately owner location not comprehension legal vs illegal immigration close today feb idea help
1.0,good place get ready remodel sovservice slow
0.0,dining hrs drive
1.0,consistent quality productsremodele store
0.0,find piece gum food come
0.0,ask leave say dog allow outdoor patio
1.0,st mcdonald year clean whistle
1.0,great customer service drive
0.0,not allow service dog
1.0,decently run location ice cream machine break time
1.0,fast service drive
0.0,bad service take forever food
1.0,facility clean food great
0.0,food coldand people counter rude
1.0,fast drive service love
0.0,junk fast food good
0.0,take cash sit drive minute
1.0,service good time visit family wonderful
1.0,solid mcdonald lot issue
1.0,good food especially late
1.0,super fast drive
0.0,little sketchy small encampment nearby
1.0,fresh hot not ask
0.0,employee fire hire non idiot
1.0,nice quick meal snack
1.0,mcmuffin fast breakfast stick
1.0,cheap mcdonald area
0.0,fry stale customer service poor
1.0,friendly staff quick service clean
0.0,manager rude staff unprofessional
1.0,yummy
1.0,great service fast food
0.0,don
1.0,great quick meal
1.0,fast
1.0,favorite spot
0.0,gross want throw not
1.0,good fast drive morning
1.0,fast order correct
1.0,good food inexpensive price
1.0,breakfast chicken sandwich delievere smile
1.0,great food chicken nugget awesome
1.0,fairly quick food service
1.0,good sausage egg cheese biscuit
1.0,micky ds expect
1.0,good
1.0,friendly service clean restroom
0.0,take minute damn drive
1.0,beautiful fast customer service
1.0,great management fast accurate
0.0,food gross cheap
1.0,mother love pancake
1.0,love french fry
1.0,good fast service
0.0,bad attitude people
1.0,good expect
1.0,love breakfast sandwich
1.0,tasty excellent customer service
1.0,great place clean room
1.0,great service sweet
1.0,great service
1.0,fast service friendly staff
1.0,fast accurate hot food
0.0,place cleantable floor
0.0,forever work
1.0,store cold
1.0,clean friendly good service
1.0,excellent drummer
1.0,fast drive service food mcdonald
0.0,play place long wait time
0.0,service awful employee rude
0.0,order wrong overcharged
0.0,milkshake machine operate
1.0,son love fry
1.0,nice service
1.0,great food amazing
1.0,kidsno need
1.0,favorite
1.0,nice experience work fine
1.0,fast drive service
1.0,dip cone hot day
1.0,good food good service
1.0,staff kind
1.0,good food good service
1.0,good se
1.0,yas self serve kiosk
0.0,food cold
0.0,mcdonald expect
0.0,dirty area lot fly
0.0,bad chicken burger
1.0,fresh food surprisingly
1.0,good food
1.0,fast food
1.0,excellent
0.0,eh get sadly
0.0,dirty bathroom overall lackluster
1.0,hot fresh fish sandwich
1.0,quick service
1.0,great customer service
1.0,mcdonald not know
0.0,terrible phone experience
1.0,food hot
0.0,bun stale
1.0,consistent brand
1.0,quick
1.0,great outdoor atmosphere
0.0,food horrible
1.0,free ice cream app
1.0,pretty darn good
1.0,great service quick
1.0,good
1.0,clean
1.0,nice place eat
0.0,busy
1.0,breakfast nice
1.0,great service
0.0,forget nugget
1.0,fast food delivery
1.0,quick
1.0,nice staff
1.0,fast
1.0,love location
1.0,fast cheap eat
1.0,good service
0.0,slow
1.0,people friendly
1.0,fast friendly
0.0,use
1.0,great
1.0,service good
1.0,love
0.0,like mcdonald
1.0,nice
0.0,mid
1.0,great service
1.0,mcdonald
0.0,gross
1.0,tasty usual
1.0,ok
1.0,ok
1.0,great service
1.0,yummy
0.0,bad
1.0,yummy
1.0,clean friendly
1.0,good
0.0,horrible service
0.0,slow
0.0,ok
1.0,friendly staff
0.0,bad service
1.0,good service
1.0,good
0.0,awful
0.0,haha
1.0,fast cheap
0.0,rude
1.0,lit dank
1.0,ok mcdonald
0.0,rude employee
1.0,food
1.0,decent breakfast
0.0,horrible
0.0,think
1.0,american icon
1.0,fast food fast
0.0,bad staff
1.0,excellent
1.0,expect
1.0,mcdonald
1.0,mcdonald
1.0,mcdonald
1.0,consistency
1.0,awesomeness
0.0,mcdonald
1.0,breakfast baby
1.0,all get to sayno yes
0.0,terrible service not ask apart ineptitude upset pay net not want work not waste time review order deliver
1.0,good place eat quick simple
1.0,excellent burger place offer good service friendly offer help place nice clean
0.0,week go twice coffee ask cream sugar come work coffee sugar courage
1.0,excellent
1.0,excellent place excellent staff
1.0,buy food eat tasty hot chocolate
1.0,ok
1.0,good attention speak spanish
0.0,ghis f
1.0,mcdonald way like
0.0,bad s
1.0,good customer service impeccable
1.0,excellent service recommend
1.0,dollar menu chicken burger normal tasty
1.0,kill hunger time
1.0,excellent atention
1.0,excellent place careful attention
1.0,salad good fast
1.0,neat promptness care good
1.0,love macchiken
1.0,excellent
1.0,excellent
1.0,good service
1.0,good
1.0,excellent
0.0,mistake order
1.0,excellent
1.0,good burger
0.0,poor
1.0,excellent
1.0,good
1.0,excellent
1.0,good
0.0,poor
0.0,wait time long
0.0,disappointing
1.0,speed
1.0,excellent
1.0,excellent
1.0,excellent
1.0,excellent
1.0,love
0.0,poor
1.0,excellent care
1.0,excellent
1.0,fast
1.0,excellent
1.0,good
1.0,excellent
1.0,excellent
1.0,good
1.0,good
1.0,excellent
1.0,excellent
1.0,excellent
1.0,good
1.0,good
1.0,excellent
0.0,staff disorganize confuse
1.0,excellent
1.0,excellent
1.0,good
0.0,poor
1.0,excellent
1.0,excellent
0.0,poor
0.0,poor
1.0,excellent
1.0,good
0.0,poor
1.0,good
0.0,poor
1.0,good
1.0,excellent
1.0,good
1.0,excellent
1.0,good
1.0,good
0.0,ugly burger
1.0,excellent
1.0,excellent
1.0,excellent
1.0,excellent
1.0,good
1.0,good
1.0,excellent
0.0,staff rude dismissive
1.0,excellent
0.0,poor
0.0,wait time long expect
1.0,excellent
1.0,excellent
1.0,excellent
1.0,excellent
1.0,excellent
1.0,excellent
0.0,poor
1.0,excellent
0.0,poor
1.0,excellent
0.0,poor
1.0,good
1.0,good
1.0,good
1.0,excellent
1.0,excellent
1.0,excellent
1.0,excellent
1.0,excellent
1.0,excellent
1.0,good
1.0,excellent
1.0,good
1.0,excellent
1.0,excellent
1.0,excellent
1.0,excellent
1.0,good
0.0,poor
0.0,poor
1.0,excellent
0.0,wait time long expect
1.0,excellent
1.0,excellent
1.0,excellent
1.0,excellent
1.0,excellent
1.0,excellent
1.0,excellent
0.0,good
1.0,excellent
1.0,excellent
1.0,excellent
1.0,excellent
1.0,excellent
1.0,good
1.0,excellent
1.0,good
1.0,excellent
1.0,excellent
0.0,sad
0.0,sad
1.0,excellent
0.0,bad
1.0,good
1.0,excellent
0.0,unmotivate staff
1.0,good
1.0,excellent
1.0,good
1.0,excellent
1.0,excellent
0.0,bad
1.0,good
0.0,poor
1.0,excellent
1.0,good
1.0,excellent
1.0,excellent
1.0,good
1.0,excellent
1.0,excellent
1.0,excellent
1.0,good
1.0,good
1.0,good
0.0,bad
0.0,bad
1.0,excellent
1.0,good
1.0,good
1.0,excellent
1.0,good
1.0,excellent
1.0,excellent
1.0,good
1.0,good
1.0,good
1.0,excellent
0.0,bad
1.0,excellent
1.0,excellent
1.0,excellent
0.0,poor
0.0,poor
1.0,good
1.0,good
1.0,excellent
1.0,excellent
1.0,good
0.0,bad
1.0,excellent
0.0,bad
0.0,bad
1.0,good
0.0,poor
0.0,horrible customer service order large fry salt inedible throw salt car seat look like employee dump entire box salt live mile away take picture manager bridgit time return good zero star
0.0,family wait drive line min fact burger come weird eat way fry salty soggy disgusting spend money type food service night hour
1.0,worth effort construction wait old food go twice food fresh chicken sandwich shrivel dry like sit hour cook begin small drop mayo bun stale time figure second time order nugget fry milkshake not receipt tell park wait food ready spot open access cashier say walk away wait car pull building spot ask shake say ll bring wait min honestly long forget milkshake ask curtly receipt clearly eventually bring shake fry old cold shake melt
1.0,drive today quick free street parking lot building clean maintain pay clerk card reader outside card machine safe guess food typical mcdonald food good warm hot large diet coke cheeseburger ff lg soda
0.0,care walkin anymore staff attention drivethrough not dine anymore kid wait nearly min ask ketchup drivethrough window
0.0,brodheadsville pa time location forget wife soda disable stand long advantage curbside delivery app don salad anymor
0.0,order early mobile app wait minute breakfast sandwich minute work break say incompetent staff build child neglect store absolutely neglect issue soda not flavor
1.0,location clean modern staff frienldy efficient stand quality food preparation taste great price good highly recommend
0.0,awful service fry cold cheese burger cold charge honey mustard don
0.0,food suck french fry cold half mention charge dollar wait minute rip
